cell_id,lat,lon,risk_score,rainfall_score,terrain_score,lake_proximity_score
CELL_002529,28.07533585727777,85.4807445891102,64.75146874946475,0.4613149375674425,0.6515929294486409,0.8296361954678588
CELL_002530,28.076238258441993,85.4807318892485,56.50763064590719,0.4613149375674425,0.3984507476491445,0.835463234160629
CELL_002531,28.077140659482225,85.48071918879953,62.482486340201774,0.4613149375674425,0.5727018138841786,0.8404578387544319
CELL_002532,28.07804306039846,85.48070648776326,68.7058732850316,0.4613149375674425,0.7543471558501619,0.8455141051333436
CELL_002533,28.078945461190703,85.48069378613968,66.31322474007845,0.4613149375674425,0.6778814038333077,0.8502004008016032
CELL_002534,28.079847861858944,85.48068108392877,63.71657845605741,0.4613149375674425,0.5952957196444171,0.8548866964698628
CELL_002535,28.080750262403186,85.4806683811305,66.17808266104859,0.4613149375674425,0.6656261240429576,0.8584014182210575
CELL_002536,28.081652662823423,85.48065567774486,66.1994930031002,0.4613149375674425,0.6624762345203227,0.8621936180052412
CELL_002537,28.08255506311965,85.48064297377182,58.723344124145726,0.4613149375674425,0.434738708185602,0.8656466779713272
CELL_002538,28.083457463291875,85.48063026921137,64.3213777983317,0.4613149375674425,0.6004290632547146,0.867897333127794
CELL_002539,28.084359863340094,85.48061756406348,67.72356679170306,0.4613149375674425,0.7005832177174862,0.8698088484661631
CELL_002540,28.085262263264283,85.48060485832814,67.61908432249113,0.4613149375674425,0.6955372283027593,0.8717203638045321
CELL_002541,28.086164663064462,85.4805921520053,62.802785057294074,0.4613149375674425,0.5503083089255434,0.8724603052258363
CELL_002542,28.087067062740626,85.48057944509497,69.12602983745268,0.4613149375674425,0.7394815271568778,0.87298443039926
CELL_002543,28.087969462292765,85.48056673759712,65.19971567065755,0.4613149375674425,0.621784594830687,0.872891937721597
CELL_002544,28.088871861720868,85.48055402951174,70.55692581744685,0.4613149375674425,0.7831791788705617,0.8722136580854016
CELL_002545,28.089774261024946,85.48054132083877,69.95503828169159,0.4613149375674425,0.7665716047479574,0.8707646061353476
CELL_002546,28.090676660205,85.48052861157824,63.67684086120959,0.4613149375674425,0.5800447047942038,0.8689455834746416
CELL_002547,28.091579059261015,85.4805159017301,60.91747597759621,0.4613149375674425,0.49945275165716047,0.8667565901032834
CELL_002548,28.092481458193,85.48050319129433,66.06503605501601,0.4613149375674425,0.6568701505575253,0.8637659935255125
CELL_002549,28.093383857000937,85.48049048027092,63.85480362434269,0.4613149375674425,0.5942320538512923,0.8600971173115461
CELL_002550,28.09428625568483,85.48047776865984,62.24491718479693,0.4613149375674425,0.539522635013617,0.8665099429628488
CELL_002551,28.09518865424469,85.48046505646106,60.21521675830294,0.4613149375674425,0.467594162684343,0.8775474024973023
CELL_002552,28.096091052680492,85.48045234367457,52.83430108079406,0.4613149375674425,0.23469760032886286,0.8890164945275165
CELL_002553,28.09699345099224,85.48043963030037,48.73276467464844,0.4613149375674425,0.10092235753558398,0.8997456451364267
CELL_002554,28.097895849179945,85.48042691633839,57.90803829881986,0.4613149375674425,0.3658830481475772,0.910043163249576
CELL_002555,28.098798247243582,85.48041420178866,57.525735231146044,0.4613149375674425,0.34423976157443087,0.9202173577925081
CELL_002556,28.09970064518317,85.48040148665113,51.20300429919668,0.4613149375674425,0.14512358049432197,0.929651610914136
CELL_002557,28.100603042998696,85.48038877092579,58.27081513454259,0.4613149375674425,0.34864857920970144,0.9381609372591336
CELL_002558,28.101505440690147,85.4803760546126,62.05496463011493,0.4613149375674425,0.45421869379785207,0.9461153075381532
CELL_002559,28.10240783825754,85.48036333771158,59.26271346111025,0.4613149375674425,0.363020913622116,0.9535455526437491
CELL_002560,28.103310235700864,85.48035062022265,53.70424609903567,0.4613149375674425,0.18957658907558705,0.9602358563280406
CELL_002561,28.10421263302011,85.48033790214585,61.090985389582585,0.4613149375674425,0.4050434201736806,0.9663712039463542
