cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000214,18164.002021369546,21658.493753340324,23.797400912794288
CELL_000215,1441.0209484605311,9658.086843564957,6.55930720278301
CELL_000216,1343.3291399134876,9658.086843564957,6.55930720278301
CELL_000217,1246.0036044805138,9658.086843564957,6.55930720278301
CELL_000218,1149.1374098062831,9658.086843564957,6.55930720278301
CELL_000219,1052.857345917787,9658.086843564957,6.55930720278301
CELL_000220,957.3402713208915,9658.086843564957,6.55930720278301
CELL_000221,862.8396139082605,9658.086843564957,6.55930720278301
CELL_000222,769.7298250476,9658.086843564957,6.55930720278301
CELL_000223,678.5836778198441,9658.086843564957,6.55930720278301
CELL_000224,586.177186402283,9658.086843564957,6.55930720278301
CELL_000225,495.65702305525735,9658.086843564957,6.55930720278301
CELL_000226,409.5705984929118,9658.086843564957,6.55930720278301
CELL_000227,331.3914087545475,9658.086843564957,6.55930720278301
CELL_000228,265.76864257399774,9658.086843564957,6.55930720278301
CELL_000229,215.4026184997764,9658.086843564957,6.55930720278301
CELL_000230,200.19613254449203,9658.086843564957,6.55930720278301
CELL_000231,226.34429456863398,9658.086843564957,6.55930720278301
CELL_000232,283.04035553150254,9658.086843564957,6.55930720278301
CELL_000233,293.96263397041787,3504.816679479516,-48.70085355331917
CELL_000234,330.3275677490842,3504.816679479516,-48.70085355331917
CELL_000235,389.4295609093782,3504.816679479516,-48.70085355331917
CELL_000236,19528.856604442753,21658.493753340324,23.797400912794288
CELL_000237,19433.29166921743,21658.493753340324,23.797400912794288
CELL_000238,19337.771586324343,21658.493753340324,23.797400912794288
CELL_000239,19242.297023713072,21658.493753340324,23.797400912794288
CELL_000240,19146.86866233836,21658.493753340324,23.797400912794288
CELL_000241,19051.487196457918,21658.493753340324,23.797400912794288
CELL_000242,18956.153333964216,21658.493753340324,23.797400912794288
CELL_000243,18860.867796704235,21658.493753340324,23.797400912794288
CELL_000244,18765.63132081447,21658.493753340324,23.797400912794288
CELL_000245,18670.444657069525,21658.493753340324,23.797400912794288
CELL_000246,18575.308571237343,21658.493753340324,23.797400912794288
CELL_000247,18480.223844442247,21658.493753340324,23.797400912794288
CELL_000248,18385.191273539967,21658.493753340324,23.797400912794288
CELL_000249,18290.21167150937,21658.493753340324,23.797400912794288
CELL_000250,18195.285867845123,21658.493753340324,23.797400912794288
CELL_000251,18100.414708966528,21658.493753340324,23.797400912794288
CELL_000252,1522.745660584945,9658.086843564957,6.55930720278301
CELL_000253,1423.7549614623088,9658.086843564957,6.55930720278301
CELL_000254,1324.799554847002,9658.086843564957,6.55930720278301
CELL_000255,1226.0039415767378,9658.086843564957,6.55930720278301
CELL_000256,1127.42071517085,9658.086843564957,6.55930720278301
CELL_000257,1029.11091396205,9658.086843564957,6.55930720278301
CELL_000258,931.1611447400536,9658.086843564957,6.55930720278301
CELL_000259,833.6983157654645,9658.086843564957,6.55930720278301
CELL_000260,736.9156572825872,9658.086843564957,6.55930720278301
CELL_000261,641.1212757237432,9658.086843564957,6.55930720278301
CELL_000262,546.8347962808646,9658.086843564957,6.55930720278301
CELL_000263,454.99461388235017,9658.086843564957,6.55930720278301
CELL_000264,363.2751972372279,9658.086843564957,6.55930720278301
CELL_000265,272.1048687059048,9658.086843564957,6.55930720278301
CELL_000266,190.03486580104502,9658.086843564957,6.55930720278301
CELL_000267,125.93863650154445,9658.086843564957,6.55930720278301
CELL_000268,100.63301621300775,9658.086843564957,6.55930720278301
CELL_000269,141.8346481762176,9658.086843564957,6.55930720278301
CELL_000270,187.90902066657148,3504.816679479516,-48.70085355331917
CELL_000271,197.6881634241108,3504.816679479516,-48.70085355331917
CELL_000272,248.23313810557624,3504.816679479516,-48.70085355331917
CELL_000273,322.73638119756106,3504.816679479516,-48.70085355331917
CELL_000274,19558.46871964124,21658.493753340324,23.797400912794288
